Month,Week,ShipDate,PlantNumber,SoldTo,ShipTo,ProductCode,DieNumber,CommodityCode,ItemNumber,Item Desc,BOL,Job,ShippedCartons
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110400,12CT BAPR COLOMBIA CBT,42913,114143,"16,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110437,12CT CBOU CARIBOU BLEND CBT,42913,61264,"112,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110440,12CT CBOU DAYBREAK MORNING CBT,42916,61248,"32,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110461,12CT CS ENG BREAKFAST TEA CBT,42916,61250,"25,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110488,12CT DHC DONUT HOUSE CBT,42916,61670,"96,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,,373,,9110232,12CT EOC COLOMBIAN PEAKS CBT,42913,61294,"144,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110230,12CT EOC ORIGINAL CBT,42913,61621,"128,000"
14-Nov,10/27/14,11/1/14,2346,134011200,251506501,372,372,,9110710,12CT FLG EN/FR LIV COL DEC CBT,42912,61553,"53,100"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9111341,12CT FLGR MOCHA SWIRLE CBT,42916,61447,"112,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,372,372,,9110501,12CT GMC BREAKFAST BLEND CBT,42916,61295,"96,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,374,374,,9100649,18CT ARFM HOUSE BLN DECAF CBT,42913,61322,"12,000"
14-Nov,10/27/14,11/2/14,2346,134011200,251506501,374,374,,9110541,18CT GMC SUMATRAN RESERVE CBT,42916,61617,"36,000"
14-Nov,10/27/14,11/2/14,2510,90950500,251697101,,3854,,ATEE013074,022 MRS.TS CLASSIC CHEDDAR,187169,152251,"120,000"
14-Nov,10/27/14,11/1/14,2346,134011200,251506501,,633B,,9110125,22/24CT GMC GENERIC GLUED,42912,61628,"198,000"
14-Nov,10/27/14,11/2/14,2510,90950500,251697101,,3854,,ATEE013079,031 MRS T SOUR CREAM & CHIVE,187169,152256,"48,500"
14-Nov,10/27/14,11/2/14,2510,90950500,251697101,,3854,,ATEE013075,041 MRS.TS FOUR CHEESE MEDLEY,187169,151479,"100,000"
